rank,word,translation,gender
1,wie,as,
2,ich,I,
3,seine,his,
4,dass,that,
5,er,he,
6,war,was,
7,für,for,
8,auf,on,
9,sind,are,
10,mit,with,
11,sie,they,
12,sein,be,
13,bei,at,
14,ein,one,
15,haben,have,
16,dies,this,
17,aus,from,
18,durch,by,
19,heiß,hot,
20,Wort,word,das
21,aber,but,
22,was,what,
23,einige,some,
24,ist,is,
25,es,it,
26,Sie,you,die
27,oder,or,
28,hatte,had,
29,die,the,
30,von,of,
31,zu,to,
32,und,and,
33,ein,a,
34,bei,in,
35,wir,we,
36,können,can,
37,aus,out,
38,andere,other,
39,waren,were,
40,die,which,
41,tun,do,
42,ihre,their,
43,Zeit,time,die
44,wenn,if,
45,werden,will,
46,wie,how,
47,sagte,said,
48,ein,an,
49,jeder,each,
50,sagen,tell,
51,tut,does,
52,Satz,set,der
53,drei,three,
54,wollen,want,
55,Luft,air,die
56,gut,well,
57,auch,also,
58,spielen,play,
59,klein,small,
60,Ende,end,das
61,setzen,put,
62,Zuhause,home,das
63,lesen,read,
64,seits,hand,
65,Hafen,port,der
66,groß,large,
67,buchstabieren,spell,
68,hinzufügen,add,
69,auch,even,
70,Lande,land,die
71,hier,here,
72,muss,must,
73,groß,big,
74,hoch,high,
75,so,such,
76,folgen,follow,
77,Akt,act,der
78,warum,why,
79,fragen,ask,
80,Männer,men,der
81,Veränderung,change,die
82,ging,went,
83,Licht,light,das
84,Art,kind,die
85,aus,off,
86,müssen,need,
87,Haus,house,das
88,Bild,picture,das
89,versuchen,try,
90,uns,us,
91,wieder,again,
92,Tier,animal,das
93,Punkt,point,der
94,Mutter,mother,die
95,Welt,world,der
96,in der Nähe von,near,
97,bauen,build,
98,selbst,self,
99,Erde,earth,die
100,Vater,father,der
101,jeder,any,
102,neu,new,
103,Arbeit,work,die
104,Teil,part,das
105,nehmen,take,
106,erhalten,get,
107,Ort,place,der
108,gemacht,made,
109,leben,live,
110,wo,where,
111,nach,after,
112,zurück,back,
113,wenig,little,
114,nur,only,
115,Runde,round,die
116,Mann,man,der
117,Jahr,year,das
118,kam,came,
119,zeigen,show,
120,jeder,every,
121,gut,good,
122,mir,me,
123,geben,give,
124,unsere,our,
125,unter,under,
126,Name,name,der
127,sehr,very,
128,durch,through,
129,nur,just,
130,Formular,form,das
131,Satz,sentence,der
132,groß,great,
133,denken,think,
134,sagen,say,
135,Hilfe,help,die
136,niedrig,low,
137,Linie,line,die
138,abweichen,differ,
139,wiederum,turn,
140,Ursache,cause,die
141,viel,much,
142,bedeuten,mean,
143,vor,before,
144,Umzug,move,der
145,Recht,right,das
146,Junge,boy,das
147,alt,old,
148,zu,too,
149,gleich,same,
150,sie,she,
151,alle,all,
152,da,there,
153,wenn,when,
154,nach oben,up,
155,Verwendung,use,die
156,Ihre,your,die
157,Weg,way,der
158,über,about,
159,viele,many,
160,dann,then,
161,sie,them,
162,schreiben,write,
163,würde,would,
164,wie,like,
165,so,so,
166,diese,these,
167,sie,her,
168,lange,long,
169,machen,make,
170,Sache,thing,die
171,sehen,see,
172,ihm,him,
173,zwei,two,
174,hat,has,
175,suchen,look,
176,mehr,more,
177,Tag,day,der
178,könnte,could,
179,gehen,go,
180,kommen,come,
181,tat,did,
182,Anzahl,number,die
183,klingen,sound,
184,nicht,no,
185,am meisten,most,
186,Menschen,people,das
187,meine,my,
188,über,over,
189,wissen,know,
190,Wasser,water,das
191,als,than,
192,Anruf,call,der
193,erste,first,
194,die,who,
195,können,may,
196,nach unten,down,
197,Seite,side,die
198,gewesen,been,
199,jetzt,now,
200,finden,find,
201,Kopf,head,der
202,stehen,stand,
203,besitzen,own,
204,Seite,page,die
205,sollte,should,
206,Land,country,das
207,gefunden,found,
208,Antwort,answer,die
209,Schule,school,die
210,wachsen,grow,
211,Studie,study,die
212,noch,still,
213,lernen,learn,
214,Anlage,plant,die
215,Abdeckung,cover,die
216,Lebensmittel,food,die
217,Sonne,sun,der
218,vier,four,
219,zwischen,between,
220,Zustand,state,der
221,halten,keep,
222,Auge,eye,das
223,nie,never,
224,letzte,last,
225,lassen,let,
226,Gedanken,thought,der
227,Stadt,city,der
228,Baum,tree,der
229,überqueren,cross,
230,Bauernhof,farm,der
231,schwer,hard,
232,Beginn,start,der
233,Macht,might,die
234,Geschichte,story,die
235,Säge,saw,die
236,weit,far,
237,Meer,sea,das
238,ziehen,draw,
239,links,left,
240,spät,late,
241,laufen,run,
242,unterlassen Sie,don’t,
243,während,while,
244,Presse,press,die
245,Schließen,close,der
246,Nacht,night,die
247,realen,real,
248,Leben,life,das
249,wenige,few,
250,Norden,north,der
251,Buch,book,das
252,tragen,carry,
253,nahm,took,
254,Wissenschaft,science,die
255,essen,eat,
256,Zimmer,room,das
257,Freund,friend,der
258,begann,began,
259,Idee,idea,die
260,Fisch,fish,der
261,berg,mountain,
262,Stopp,stop,der
263,einmal,once,
264,Basis,base,die
265,hören,hear,
266,Pferd,horse,das
267,Schnitt,cut,der
268,sicher,sure,
269,beobachten,watch,
270,Farbe,color,die
271,Gesicht,face,das
272,Holz,wood,das
273,Haupt-,main,
274,geöffnet,open,
275,scheinen,seem,
276,zusammen,together,
277,nächste,next,
278,weiß,white,
279,Kinder,children,der
280,Start,begin,der
281,bekam,got,
282,gehen,walk,
283,Beispiel,example,das
284,erleichtern,ease,
285,Papier,paper,das
286,Gruppe,group,die
287,immer,always,
288,Musik,music,die
289,diejenigen,those,
290,beide,both,
291,Marke,mark,die
292,oft,often,
293,Schreiben,letter,das
294,bis,until,
295,Meile,mile,die
296,Fluss,river,der
297,Auto,car,das
298,Füße,feet,die
299,Pflege,care,die
300,zweite,second,
301,genug,enough,
302,Ebene,plain,die
303,Mädchen,girl,das
304,üblich,usual,
305,jung,young,
306,bereit,ready,
307,oben,above,
308,je,ever,
309,rot,red,
310,Liste,list,die
311,obwohl,though,
312,fühlen,feel,
313,Vortrag,talk,der
314,Vogel,bird,der
315,bald,soon,
316,Körper,body,der
317,Hund,dog,der
318,Familie,family,die
319,direkt,direct,
320,Pose,pose,die
321,verlassen,leave,
322,Lied,song,das
323,messen,measure,
324,Tür,door,die
325,Produkt,product,das
326,schwarz,black,
327,kurz,short,
328,Zahl,numeral,die
329,Klasse,class,die
330,Wind,wind,der
331,Frage,question,die
332,passieren,happen,
333,vollständig,complete,
334,Schiff,ship,das
335,Bereich,area,der
336,Hälfte,half,die
337,Stein,rock,der
338,bestellen,order,
339,Feuer,fire,das
340,Süden,south,der
341,Problem,problem,das
342,Stück,piece,das
343,sagte,told,
344,wusste,knew,
345,passieren,pass,
346,seit,since,
347,obere,top,
348,ganze,whole,
349,König,king,der
350,Straße,street,die
351,Zoll,inch,der
352,multiplizieren,multiply,
353,nichts,nothing,
354,Kurs,course,der
355,bleiben,stay,
356,Rad,wheel,das
357,voll,full,
358,Kraft,force,die
359,blau,blue,
360,Objekt,object,das
361,entscheiden,decide,
362,Oberfläche,surface,die
363,tief,deep,
364,Mond,moon,der
365,Insel,island,die
366,Fuß,foot,der
367,System,system,das
368,beschäftigt,busy,
369,Prüfung,test,die
370,Rekord,record,der
371,Boot,boat,das
372,gemeinsam,common,
373,goldenen,gold,
374,möglich,possible,
375,Flugzeug,plane,das
376,statt,stead,
377,trocken,dry,
378,Wunder,wonder,das
379,Lachen,laugh,das
380,tausend,thousand,
381,vor,ago,
382,lief,ran,
383,überprüfen,check,
384,Spiel,game,das
385,Form,shape,die
386,gleichsetzen,equate,
387,heiß,hot,
388,Fehl,miss,der
389,gebracht,brought,
390,Wärme,heat,die
391,Schnee,snow,der
392,Reifen,tire,der
393,bringen,bring,
394,ja,yes,
395,entfernt,distant,
396,füllen,fill,
397,Osten,east,der
398,malen,paint,
399,Sprache,language,die
400,unter,among,
401,Einheit,unit,die
402,Macht,power,die
403,Stadt,town,der
404,fein,fine,
405,sicher,certain,
406,fliegen,fly,
407,fallen,fall,
408,führen,lead,
409,Schrei,cry,der
410,dunkel,dark,
411,Maschine,machine,die
412,note,note,
413,warten,wait,
414,Plan,plan,der
415,Abbildung,figure,die
416,Stern,star,der
417,Kasten,box,der
418,Nomen,noun,das
419,Feld,field,das
420,Rest,rest,der
421,richtig,correct,
422,fähig,able,
423,Pfund,pound,das
424,getan,done,
425,Schönheit,beauty,die
426,Antriebs,drive,der
427,stand,stood,
428,enthalten,contain,
429,Front,front,die
430,lehren,teach,
431,Woche,week,der
432,Finale,final,das
433,gab,gave,
434,grün,green,
435,oh,oh,
436,schnell,quick,
437,entwickeln,develop,
438,Ozean,ocean,der
439,warme,warm,
440,kostenlos,free,
441,Minute,minute,die
442,stark,strong,
443,besondere,special,
444,Geist,mind,der
