rank,word,translation,gender
1,un,a,
2,à,to,
3,en,in,
4,le,the,
5,et,and,
6,être,to be,
7,de,of,
8,avoir,to have,
9,que,that,
10,ne,not ,
11,dans,in,
12,ce,this,
13,il,he,
14,qui,who,
15,pas,not,
16,pour,for,
17,sur,on,
18,se,oneself,
19,son,his,
20,plus,more,
21,pouvoir,can,
22,par,by,
23,je,I,
24,avec,with,
25,tout,all,
26,faire,to do,
27,nous,we,
28,mettre,to put,
29,autre,other,
30,on,one,
31,mais,but,
32,leur,them,
33,comme,like,
34,ou,or,
35,si,if,
36,avant,before,
37,y,there ,
38,dire,to say,
39,elle,she,
40,devoir,to have to,
41,donner,to give,
42,deux,two,
43,même,same,
44,prendre,to take ,
45,où,where,
46,aussi,too,
47,celui,that,
48,bien,well,
49,cela,that,
50,fois,time,une
51,vous,you ,
52,encore,again,
53,vouloir,to want,
54,nouveau,new,
55,aller,to go,
56,entre,between,
57,premier,first ,
58,aucun,none,
59,déjà,already,
60,grand,great,
61,mon,my,
62,me,me,
63,moins,less,
64,quelque,some ,
65,lui,him,
66,temps,time,un
67,très,very,
68,savoir,to know ,
69,falloir,to take,
70,voir,to see,
71,notre,our,
72,sans,without,
73,dont,whose,
74,raison,reason,une
75,monde,world,un
76,non,no,
77,monsieur,mister,un
78,an,year ,un
79,jour,day ,un
80,trouver,to find,
81,demander,to ask for,
82,alors,then,
83,après,after,
84,venir,to come,
85,personne,person,une
86,rendre,to render,
87,part,share ,une
88,dernier,last,
89,lequel,which (one),
90,pendant,during,
91,passer,to pass,
92,peu,little,
93,depuis,since,
94,suite,result,une
95,bon,good,
96,comprendre,to understand,
97,rester,to stay,
98,point,point,un
99,ainsi,thus ,
100,heure,hour,une
101,année,year ,une
102,toujours,always,
103,tenir,to hold ,
104,porter,to wear,
105,parler,to speak,
106,seul,alone,
107,montrer,to show,
108,là,there,
109,certain,certain,
110,fort,strong,
111,tu,you ,
112,continuer,to continue,
113,pays,country,un
114,fin,end,une
115,penser,to think,
116,lieu,place ,un
117,partie,part,une
118,quand,when ,
119,trois,three,
120,contre,against,
121,sous,under,
122,côté,side ,un
123,ensemble,together,
124,chose,thing,une
125,enfant,child,un/une
126,suivre,to follow ,
127,cause,cause,une
128,place,room,une
129,seulement,only ,
130,moi,me,
131,vie,life,une
132,politique,politics,une
133,jusque,to,
134,croire,to believe,
135,homme,man,un
136,cas,case,un
137,connaître,to know ,
138,commencer,to begin,
139,compter,to count,
140,fait,(done),un
141,tel,such,
142,petit,small,
143,question,question,une
144,donc,so,
145,quel,what (a),
146,général,general,
147,entendre,to hear,
148,beaucoup,much,
149,chaque,each ,
150,droit,right,un
151,moment,moment,un
152,travail,work ,un
153,femme,woman,une
154,attendre,to wait,
155,remettre,to replace,
156,jeune,young,
157,permettre,to allow,
158,occuper,to occupy,
159,gouvernement,government,un
160,eux,them,
161,appeler,to call,
162,devenir,to become,
163,partir,to leave ,
164,décider,to decide,
165,soit,either...or ,
166,ici,here,
167,rien,nothing,
168,plan,plan,un
169,cours,course,un
170,nom,name,un
171,famille,family,une
172,effet,effect,un
173,affaire,business,une
174,arriver,to arrive,
175,servir,to serve,
176,mois,month,un
177,jamais,never,
178,car,because,
179,possible,possible ,
180,tant,so much,
181,vers,toward ,
182,besoin,need,un
183,revenir,to come back,
184,sembler,to seem,
185,moyen,means,un
186,groupe,group,un
187,problème,problem,un
188,rapport,relationship,un
189,dès,from,
190,peut-être,perhaps,
191,maintenant,now,
192,pourquoi,why,
193,meilleur,better,
194,vue,view,une
195,trop,too much,
196,laisser,to leave ,
197,ordre,order,un
198,devant,in front,
199,recevoir,to receive,
200,répondre,to answer,
201,long,long,
202,service,service,un
203,ministre,minister,un/une
204,vivre,to live,
205,chez,at,
206,te,you,
207,rappeler,to recall,
208,face,front,une
209,accepter,to accept,
210,agir,to act,
211,simple,simple,
212,présenter,to present,
213,votre,your ,
214,important,important,
215,présent,present,
216,mieux,better ,
217,plusieurs,several,
218,jouer,to play,
219,mot,word ,un
220,reconnaître,to recognize,
221,poser,to put,
222,situation,situation,une
223,offrir,to offer,
224,près,near,
225,force,force,une
226,national,national,
227,projet,project,un
228,ni,nor,
229,choisir,to choose,
230,toucher,to touch,
231,train,train,un
232,aujourd'hui,today,
233,comment,how,
234,puis,then,
235,gens,people ,des
236,propre,clean,
237,grâce,thanks,une
238,idée,idea,une
239,surtout,especially,
240,région,region,une
241,aimer,to like,
242,sens,sense,un
243,selon,according to ,
244,semaine,week,une
245,également,also,
246,ci,this one,
247,retrouver,to find,
248,nombre,number ,un
249,perdre,to lose,
250,français,French,
251,façon,way,une
252,quatre,four,
253,compte,account,un
254,considérer,to consider,
255,expliquer,to explain,
256,ouvrir,to open,
257,gagner,to win,
258,exemple,example,un
259,lorsque,when ,
260,économique,economic,
261,mesure,measure,une
262,histoire,history,une
263,ville,city ,une
264,ensuite,next ,
265,guerre,war,une
266,loi,law,une
267,président,president,un
268,haut,top,
269,sûr,sure,
270,refuser,to refuse,
271,plutôt,rather,
272,bureau,office,un
273,exister,to exist,
274,quant,as for,
275,mort,dead,
276,mal,bad,
277,mauvais,bad,
278,réussir,to succeed ,
279,marché,market,un
280,condition,condition,une
281,lire,to read,
282,changer,to change,
283,oui,yes,
284,public,public,un
285,humain,human,un
286,international,international,
287,cinq,five,
288,système,system,un
289,travailler,to work ,
290,souvent,often,
291,vrai,true ,
292,représenter,to represent,
293,madame,madam,une
294,société,society,une
295,jeu,game,un
296,quoi,what,
297,entreprise,enterprise,une
298,coup,coup,un
299,difficile,difficult,
300,or,gold,un
301,assurer,to assure,
302,essayer,to try,
303,juste,just,
304,étranger,foreigner,un
305,social,social,
306,million,million,un
307,manière,manner,une
308,sortir,to go out,
309,empêcher,to prevent ,
310,terme,term,un
311,longtemps,a long time,
312,reprendre,to resume,
313,prix,price,un
314,intérêt,interest,un
315,mener,to lead,
316,information,information ,une
317,courant,current ,
318,appartenir,to belong,
319,liberté,liberty,une
320,assez,enough,
321,détail,detail,un
322,chacun,each ,
323,concerner,to concern,
324,maison,house,une
325,d'abord,first of all,
326,risquer,to risk,
327,niveau,level,un
328,rencontrer,to meet,
329,ton,your ,
330,apprendre,to learn,
331,créer,to create,
332,état,state,un
333,obtenir,to get,
334,œuvre,work,une
335,chercher,to look for,
336,entrer,to enter,
337,proposer,to propose,
338,clair,clear,
339,programme,program,un
340,loin,far,
341,ligne,line,une
342,apporter,to bring ,
343,libre,free,
344,utiliser,to use,
345,atteindre,to reach,
346,tenter,to tempt,
347,tête,head,une
348,enfin,at last,
349,différent,different,
350,sorte,sort,une
351,cependant,however ,
352,tard,late ,
353,importer,to import,
354,action,action,une
355,relation,relationship ,une
356,sujet,subject,un
357,livre,book,un
358,ajouter,to add,
359,ailleurs,elsewhere,
360,vraiment,truly,
361,recherche,research,une
362,reste,rest ,un
363,début,beginning,un
364,présence,presence,une
365,doute,doubt,un
366,produire,to produce,
367,préparer,to prepare ,
368,forme,form,une
369,décision,decision,une
370,nombreux,numerous,
371,dix,ten,
372,produit,product,un
373,américain,American,
374,rôle,role,un
375,relever,to raise,
376,peuple,people ,un
377,second,second (ordinal) ,
378,minute,minute,une
379,prochain,next ,
380,autant,as much,
381,écrire,to write ,
382,position,position,une
383,développement,development ,un
384,défendre,to defend,
385,chef,head,un
386,particulier,particular,
387,effort,effort,un
388,parmi,among,
389,membre,member,un
390,tirer,to pull,
391,économie,economy,une
392,beau,handsome,
393,plein,full ,
394,juger,to judge,
395,éviter,to avoid,
396,ancien,ancient,
397,personnel,(personnel),
398,titre,title,un
399,soir,evening,un
400,parti,party,un
401,unique,unique ,
402,souhaiter,to wish,
403,afin,so that,
404,objet,(objective,un
405,malgré,despite,
406,période,period,une
407,engager,to hire,
408,peine,effort,une
409,parfois,sometimes ,
410,lors,at the time of,
411,sérieux,serious ,
412,aider,to help,
413,réaliser,to realize,
414,terminer,to finish,
415,base,base,une
416,espérer,to hope,
417,main,hand,une
418,voix,voice,une
419,arrêter,to stop,
420,retour,return,un
421,prêt,ready,
422,occasion,chance,une
423,gros,big ,
424,regarder,to look,
425,plupart,most,une
426,deuxième,second ,
427,résultat,result,un
428,député,deputy,un
